,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Range,Hazardous,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Material,Seal Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection,Thread Standard,Max Set Pressure,Thread Size,Maximum Operating Temperature,Application,Grade,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Weight,Size,Colour,Operating Temperature,Warranty,Connection Size (mm),Actuator Type,Ball Material,Handle Material,Handle Type,Number of Ports,Operator Type,Seat Material,Bio Fuels,Oil Supply Pipe Connection,Temperature Rating,Nominal Fuel Flow Rate Diesel,Nominal Fuel Flow Rate Kerosine,Manual Reset,Body Material,Manual,Material Type,Thickness,Diameter,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Boiler Section,Boiler Range,Part Gas Council number,Voltage Rating,Dimensions mm (H x W x D),Protection Time,Drainage Product Type,Resistance Features
21,P169922,Nabic FIG. 500 safety valve 20mm 3.0bar,Nabic,320.1,"This Nabic FIG 500 3 bar high lift safety valve with 20mm BSP connections is designed for use on unvented hot water heating systems, where high capacity, emergency steam relief is needed. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Nabic FIG. 500 safety valve 20mm 3.0bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/26/NW-169921_169926_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG500_500F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_500_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabic_SafetyValve_FIG500_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PK80001,Danfoss 3 point actuator 24v,Danfoss,74.5,"The Danfoss AMV130 three point actuator is suitable for use with fan coil units, induction units, small re-heaters and re-coolers and in zone applications where hot or cold water is the controlled medium. Easy to install, this actuator requires no tools for mounting and promises a lifetime free of maintenance costs.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Danfoss 3 point actuator 24v",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/01/NW-K80001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/el/Danfoss_BuildingsBusinessUnit_EU_Del.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_ECAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_AMV130_140_130H_140H_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Actuator_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MFR_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PK28654,Crane F628 ductile iron fully lugged lever operated butterfly valve 100mm PN16,Crane,680.76,"This Crane F628 100mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane F628 ductile iron fully lugged lever operated butterfly valve 100mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-K28651_K28657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PU64304,Midland Brass Y-type strainer 22mm,Midland Brass,9.87,This Midland Brass Y-type strainer is made of tough brass with 22mm threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Midland Brass Y-type strainer 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/04/NW-U64304_wm.jpg,,,22 mm,Threaded,,N,,,,,,,MBFYS-22,Y-Type Strainer,N,Leading supplier,Hardwearing materials,Value for money,Reliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P208640,Myson Powerextra Valves ACT222 2 port actuator head only 22mm and 3/4 (1),Myson,61.64,"Offering low contact resistance switching, the Myson Powerextra ACT222 22mm 3/4"" two-port motorised valve actuator head is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Myson Powerextra Valves ACT222 2 port actuator head only 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/40/208640_wm.jpg,,,22mm & 3/4,,Powerextra Valves,N,,,,Brass,,,ACT222,DVC Valves,N,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,N/A,BSP,,22mm & 3/4,n/a,Central Heating,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P170141,Nabic FIG. 542 safety valve 20mm,Nabic,228.67,"This Nabic FIG 542 12.5 bar safety valve with 20mm BSP connections has been designed primarily for the protection of hot water boilers but offers general purpose use in a wide range of applications. With all wetted parts built for dezincification resistance, this valve is made of gunmetal with diaphragm protected working parts and PTFE to metal seating.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Nabic FIG. 542 safety valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/46/NW-170141_170146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Nabic_FIG542_542F_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/NabicSafetyValve_FIG542_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabic_Valve_FIG_542_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabic_Valves_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PK65648,JET Range BBV20 6524100000 gas lever operated ball valve (BSPP) 50mm,JET Range,175.47,"This JET Range BBV20 lever operated ball valve includes 50mm BSPP female end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV20 6524100000 gas lever operated ball valve (BSPP) 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/51/NW-K65641_K65651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Gas_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PK12161,Crane modulating actuator,Crane,44.18,"Providing proportional or equal percentage control, the Crane ACT991M modulating actuator incorporates stem gap detection, reducing on-site adjustments for easier installation and a simpler commissioning process.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane modulating actuator",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/61/NW-K12161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Crane_Fluid_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_ACTD991_PICV_Actuator_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_D991_PICV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PK65584,JET Range BBV24 lever operated (copper x copper) ball valve WRAS 22mm,JET Range,64.7,"This JET Range BBV24 manual lever operated ball valve with brass body and PTFE seat includes 22mm compression end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range BBV24 lever operated (copper x copper) ball valve WRAS 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/88/K65583_K65588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PK80130,Danfoss AME 435 modulating actuator,Danfoss,285.0,"The Danfoss AME435 modulating actuator is designed for use with two and three-way valve types VRB, VRG, VF and VL up to a diameter of DN80 or with AHQM DN40 - 100. Automatically adapting its stroke to the valve end position, this self-stroking actuator reduces commissioning time for cost-effective, fast set-up. AME438's advanced design includes a load-related switch-off, keeping actuators and valves safe from overload while a spring-up safety feature retracks the actuating stem to end position in case of power failure or switch off without further manual stem positioning being disabled.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Danfoss AME 435 modulating actuator",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/30/NW-K80130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/el/Danfoss_BuildingsBusinessUnit_EU_Del.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_AME435_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_ECAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Actuator_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_MFR_Declaration.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P107687,"Reliance Valves TPR28 PTEM100050 pressure and temperature relief valve (MBSP) x 28mm 1"" 7bar",Reliance Valves,433.85,"Suitable for domestic or commercial use, the Reliance Water Controls TPR28 7 bar pressure and temperature relief valve is designed with 1"" male x female BSP connections. Providing high capacity protection from over-temperature and over-pressurisation, this brass valve keeps temperatures from passing 95°C.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Reliance Valves TPR28 PTEM100050 pressure and temperature relief valve (MBSP) x 28mm 1"" 7bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/87/NW-107687_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_TRP28-FVMX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PK28653,Crane F628 ductile iron fully lugged lever operated butterfly valve 80mm PN16,Crane,473.44,"This Crane F628 80mm connection manual butterfly valve has a lever-operated, epoxy-coated ductile iron body with a fully-lugged aluminium bronze disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane F628 ductile iron fully lugged lever operated butterfly valve 80mm PN16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/57/NW-K28651_K28657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_Butterfly_Valves_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Crane_F614_628_Butterfly_Valve_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PK12108,Crane D151 gate valve (BSP) PN20 50mm Bronze,Crane,499.13,"This Crane D151 gate valve has 2"" BSP tapered female connections. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multiturn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Crane D151 gate valve (BSP) PN20 50mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/08/NW-K12108_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_KM_509363_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D151_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_D151_Gate_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_34777_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PK86091,JET Range 614 nitrile lever operated lugged butterfly valve 100mm,JET Range,572.38,"This JET Range 614 100mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> JET Range 614 nitrile lever operated lugged butterfly valve 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P531365,Intatec Pressure Reducing Valves 22mm Press Reducing Vlv Cw Gauge,Intatec,28.71,"This Inta pressure reducing valve (PRV) with static and dynamic pressure control and 22mm compressions connections reduces fluid pressure down to optimal system levels, preventing damage to those components located downstream. With its compact design this PRV is suitable for use in areas where space is limited.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Intatec Pressure Reducing Valves 22mm Press Reducing Vlv Cw Gauge",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/65/NW-531364_531365_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_PRV2233_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P531366,Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 28mm,Intatec,117.84,"Keeping fluid pressure at an optimal level, this Intatec pressure reducing valve (PRV) with static and dynamic pressure control and 28mm compression connections prevents damage to downstream system components. Easy to service, this high temperature PRV is suitable for use in areas with reduced space while a dial up head allows for easy setting by hand with no need for special tools.","Pipe, Valves and Fittings/Metal Pipe Valves/Metal Pipe Valves.csv -> Intatec Pressure Reducing Valves pressure reducing valve comes with gauge 28mm",,28mm Pressure Reducing Valve. 0-6bar pressure gauge. Instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/66/531366_wm.jpg,,,28 mm,Compression,Pressure Reducing Valves,N,0.5,6,Compression,Brass,,WRAS,PRV22332810,Commisioning Valve,N,AISI 304 stainless steel cartridge filter,Featuring our new ‘dial up’ head,Easy to service high temperature cartridge,"Available in 15 - 54mm and ½” - 2""",Conforms to BS EN 1567,Controls both static and dynamic pressure,Designed for both domestic & commercial use,,,,,,,,,,,,,,,,,,,,,,,,,600g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
